7109, 7610, null
403, 1303, null
3105, 3405, null
5308, 5706, null
6909, 7710, WIPE
10912, 11514, null
1803, 3105, WIPE
1504, 2305, null, 801, 0
1804, 3105, null, 1301, 0
4807, 5608, null, 801, 0
1303, 2804, null, 1501, 0
402, 1403, null, 1001, 0
2605, 3105, null, 500, 0
803, 1604, null, 801, 0
3706, 5007, null, 1301, 0
6508, 7309, null, 801, 0
8511, 9011, null, 500, 0
10479, 13815, null, 3336, 0
1303, 2304, WIPE, 1001, 0
3506, 4006, null, 500, 0
12214, 13215, null, 1001, 0
1704, 2504, null, 800, 0
4406, 5207, null, 801, 0
903, 1703, null, 800, 0
2705, 3405, null, 700, 0
6809, 7810, null, 1001, 0
10813, 12114, null, 1301, 0
15316, 16118, null, 802, 0
1804, 3105, null, 1301, 0
703, 2504, null, 1801, 0
4607, 6242, null, 1635, 0
9411, 10713, null, 1302, 0
12514, 14216, null, 1702, 0
16919, 18120, null, 1201, 0
19922, 20623, null, 701, 0
22825, 23926, null, 1101, 0
26627, 26627, null, 0, 0
1103, 3105, null, 2002, 0
4306, 5808, null, 1502, 0
7810, 9111, null, 1301, 0
12815, 13816, null, 1001, 0
16185, 18220, null, 2035, 0
802, 1804, null, 1002, 0
3305, 3706, null, 401, 0
4807, 5808, null, 1001, 0
1704, 2905, null, 1201, 0
1804, 3606, null, 1802, 0
1803, 3606, null, 1803, 0
5608, 6709, null, 1101, 0
8611, 9712, null, 1101, 0
1203, 1837, null, 634, 0
3105, 4039, null, 934, 0
5207, 6508, null, 1301, 0
9912, 10912, null, 1000, 0
1504, 2504, null, 1000, 0
603, 1103, null, 500, 0
2804, 4006, null, 1202, 0
284, 1804, null, 1520, 0
3305, 4606, null, 1301, 0
7877, 8711, null, 834, 0
1203, 1804, null, 601, 0
2404, 3406, null, 1002, 0
3694, 4706, null, 1012, 0
5107, 6108, null, 1001, 0
9912, 10713, null, 801, 0
15217, 16318, null, 1101, 0
18019, 23925, null, 5906, 0
26627, 26627, null, 0, 0
1203, 1804, null, 601, 0
2705, 3205, null, 500, 0
5507, 6509, null, 1002, 0
10713, 11614, null, 901, 0
12615, 16118, null, 3503, 0
17119, 17419, null, 300, 0
17820, 18120, null, 300, 0
19221, 19621, null, 400, 0
21122, 23125, null, 2003, 0
24727, 25830, null, 1103, 0
26560, 26560, null, 0, 0
26560, 26560, null, 0, 0
1604, 2404, null, 800, 0
3305, 3529, null, 224, 0
2605, 4607, null, 2002, 0
7610, 9711, null, 2101, 0
1703, 3105, null, 1402, 0
1404, 3405, null, 2001, 0
9712, 10712, null, 1000, 0
1203, 1871, null, 668, 0
3706, 6608, null, 2902, 0
9612, 10546, WIPE, 934, 0
11714, 12515, null, 801, 0
12846, 13315, null, 469, 0
13816, 14016, null, 200, 0
14345, 14616, null, 271, 0
14655, 15017, null, 362, 0
15358, 15617, null, 259, 0
15945, 16118, null, 173, 0
16218, 16518, null, 300, 0
16700, 16700, null, 0, 0
17012, 17012, null, 0, 0
17396, 17920, null, 524, 0
19021, 19922, null, 901, 0
22625, 23225, null, 600, 0
1404, 2605, WIPE, 1201, 0
4006, 4807, null, 801, 0
5907, 6708, GUARD, 801, 0
1203, 2504, WIPE, 1301, 0
3706, 4306, LIFT, 600, 0
5308, 5508, LICK, 200, 0
5908, 6108, LICK, 200, 0
9912, 10211, LIFT, 299, 0
12514, 15517, FLINCH, 3003, 0
16118, 18521, WIPE, 2403, 0
19321, 20822, SCRATCH, 1501, 0
21323, 24126, FLINCH, 2803, 0
1303, 2004, LIFT, 701, 0
3105, 3606, WIPE, 501, 0
3712, 5307, WIPE, 1595, 0
6208, 6609, SCRATCH, 401, 0
19321, 19621, SNIFF, 300, 0
23025, 23325, FLINCH, 300, 0
24226, 26542, GUARD, 2316, 0
26542, 26542, null, 0, 0
26542, 26542, null, 0, 0
26542, 26542, null, 0, 0
26542, 26542, null, 0, 0
1103, 1604, WIPE, 501, 0
2405, 3706, null, 1301, 0
1103, 3104, GUARD, 2001, 0
5006, 7509, WIPE, 2503, 0
703, 1404, WIPE, 701, 0
2003, 4306, LIFT, 2303, 0
6709, 7209, SNIFF, 500, 0
15317, 15817, null, 500, 0
18920, 23726, GUARD, 4806, 0
2505, 2905, WIPE, 400, 0
5708, 8010, WIPE, 2302, 0
3705, 4607, null, 902, 0
3780, 4807, WIPE, 1027, 0
7009, 7309, SNIFF, 300, 0
7810, 8510, LICK, 700, 0
9111, 10446, SNIFF, 1335, 0
13415, 19321, LIFT, 5906, 0
21356, 26627, GUARD, 5271, 0
3556, 5031, null, 1475, 0
13354, 13736, null, 382, 0
15026, 16037, null, 1011, 0
17662, 18044, null, 382, 0
18430, 20121, null, 1691, 0
20913, 21250, null, 337, 0
22446, 22829, null, 383, 0
